"Region","Location","Rep","Block","Hybrid","GY"
"MN","E1",2,7,"G23",8.74
"MN","E1",2,7,"G31",7.03
"MN","E1",2,10,"G12",8.66
"MN","E1",2,12,"G28",8.21
"MN","E1",2,12,"G13",8.42
"MN","E1",2,9,"G24",9.24
"MN","E1",2,10,"G25",8.36
"MN","E1",2,8,"G11",7.98
"MN","E1",2,8,"G21",7.08
"MN","E1",2,12,"G35",6.71
"MN","E1",2,8,"G7",7.69
"MN","E1",2,10,"G8",8.97
"MN","E1",2,11,"G22",9.35
"MN","E1",2,12,"G33",6.44
"MN","E1",2,8,"G32",8.53
"MN","E1",2,7,"G10",7.97
"MN","E1",2,7,"G36",9.1
"MN","E1",2,9,"G14",7.48
"MN","E1",2,9,"G4",9.14
"MN","E1",2,10,"G1",9.38
"MN","E1",2,10,"G3",8.74
"MN","E1",2,12,"G2",8.32
"NE","E4",1,3,"G9",13.1
"NE","E4",1,6,"G20",6.2
"NE","E4",1,5,"G34",10.27
"NE","E4",1,4,"G18",10.57
"NE","E4",1,6,"G30",9.87
"NE","E4",1,5,"G27",6.3
"NE","E4",1,5,"G29",10.27
"NE","E4",1,4,"G26",10.27
"NE","E4",1,3,"G15",9.37
"NE","E4",1,2,"G19",9.27
"NE","E4",1,1,"G5",9.13
"NE","E4",1,4,"G16",12
"NE","E4",1,1,"G6",9
"NE","E4",1,3,"G17",13.13
"NE","E4",1,2,"G23",9.67
"NE","E4",1,6,"G31",8.37
"NE","E4",1,3,"G12",11.07
"NE","E4",1,5,"G28",10
"NE","E4",1,2,"G13",13.7
"NE","E4",1,5,"G24",9.8
"NE","E4",1,5,"G25",8.53
"NE","E4",1,4,"G11",8.77
"NE","E4",1,1,"G21",9.9
"NE","E4",1,4,"G35",11.5
"NE","E4",1,2,"G7",9.77
"NE","E4",1,1,"G8",9.87
"NE","E4",1,1,"G22",10.13
"NE","E4",1,6,"G33",10.87
"NE","E4",1,6,"G32",13.4
"NE","E4",1,3,"G10",8.3
"NE","E4",1,1,"G36",11.47
"NE","E4",1,2,"G14",9.9
"NE","E4",1,2,"G1",13.73
"NE","E4",1,3,"G2",10.67
"NE","E4",1,4,"G4",8
"NE","E4",1,6,"G3",8.8
"NE","E4",2,9,"G9",12.87
"NE","E4",2,11,"G20",8.23
"NE","E4",2,8,"G34",11.53
"NE","E4",2,10,"G18",9.1
"NE","E4",2,9,"G30",11.4
"NE","E4",2,11,"G27",10.07
"NE","E4",2,7,"G29",11.73
"NE","E4",2,11,"G26",8.97
"NE","E4",2,8,"G15",8.43
"NE","E4",2,11,"G19",9.73
"NE","E4",2,12,"G5",9.7
"NE","E4",2,7,"G16",8.1
"NE","E4",2,9,"G6",10.27
"NE","E4",2,11,"G17",13.2
"NE","E4",2,7,"G23",8.23
"NE","E4",2,7,"G31",8.5
"NE","E4",2,10,"G12",9.47
"NE","E4",2,12,"G28",10.83
"NE","E4",2,12,"G13",11.2
"NE","E4",2,9,"G24",13.07
"NE","E4",2,10,"G25",8.4
"NE","E4",2,8,"G11",8.17
"NE","E4",2,8,"G21",10.07
"NE","E4",2,12,"G35",9.33
"NE","E4",2,8,"G7",11.63
"NE","E4",2,10,"G8",12.5
"NE","E4",2,11,"G22",10.87
"NE","E4",2,12,"G33",10.27
"NE","E4",2,8,"G32",14.53
"NE","E4",2,7,"G10",6.27
"NE","E4",2,7,"G36",9.53
"NE","E4",2,9,"G14",12.23
"NE","E4",2,9,"G4",8.73
"NE","E4",2,10,"G1",13.5
"NE","E4",2,10,"G3",10.67
"NE","E4",2,12,"G2",10.77
"TB","E12",1,3,"G9",8.17
"TB","E12",1,6,"G20",2.34
"TB","E12",1,5,"G34",6.4
"TB","E12",1,4,"G18",6.94
"TB","E12",1,6,"G30",3.91
"TB","E12",1,5,"G27",6.52
"TB","E12",1,5,"G29",7.73
"TB","E12",1,4,"G26",7.65
"TB","E12",1,3,"G15",6.06
"TB","E12",1,2,"G19",5.5
"TB","E12",1,1,"G5",6.17
"TB","E12",1,4,"G16",6.8
"TB","E12",1,1,"G6",7.76
"TB","E12",1,3,"G17",7.64
"TB","E12",1,2,"G23",6.86
"TB","E12",1,6,"G31",1.55
"TB","E12",1,3,"G12",6.31
"TB","E12",1,5,"G28",2.96
"TB","E12",1,2,"G13",7.43
"TB","E12",1,5,"G24",6.91
"TB","E12",1,5,"G25",5.81
"TB","E12",1,4,"G11",6.38
"TB","E12",1,1,"G21",7.15
"TB","E12",1,4,"G35",7.27
"TB","E12",1,2,"G7",6.82
"TB","E12",1,1,"G8",7.84
"TB","E12",1,1,"G22",7.99
"TB","E12",1,6,"G33",2.32
"TB","E12",1,6,"G32",3.87
"TB","E12",1,3,"G10",7.24
"TB","E12",1,1,"G36",5.09
"TB","E12",1,2,"G14",7.04
"TB","E12",1,2,"G1",7.37
"TB","E12",1,3,"G2",6.9
"TB","E12",1,4,"G4",7.12
